comunidad_autonoma,alquiler,opcion_compra,venta,otras,total,pct_alquiler
Andalucía,48834,0,18522,5708,73064,66.8
País Vasco,31492,0,318,7596,39406,79.9
Madrid (Comunidad de),29327,4,0,289,29620,99.0
Cataluña,17960,320,0,0,18280,98.2
Canarias,14473,4940,0,0,19413,74.6
Extremadura,12633,0,0,0,12633,100.0
Comunitat Valenciana,11544,0,2754,0,14298,80.7
Asturias (Principado de),8817,0,0,0,8817,100.0
Castilla-La Mancha,6801,1040,440,87,8368,81.3
Galicia,3819,0,7538,199,11556,33.0
Balears (Illes),2362,0,0,0,2362,100.0
Navarra (Comunidad Foral de),2075,0,0,160,2235,92.8
Murcia (Región de),1736,103,442,90,2371,73.2
Castilla y León,1842,0,3510,0,5352,34.4
Melilla,1168,0,0,0,1168,100.0
Ceuta,773,0,511,281,1565,49.4
Aragón,610,0,202,0,812,75.1
Rioja (La),179,15,21,0,215,83.3
Cantabria,397,5,0,0,402,98.8
TOTAL_ESPAÑA,196842,6427,34258,14410,251937,78.1
