pais,pct_alquiler_social,viviendas_por_100_habitantes
Países Bajos,29.0,11.5
Austria,24.0,9.8
Dinamarca,20.0,8.6
Francia,17.0,7.0
Suecia,16.0,6.1
Finlandia,11.0,5.0
Chequia,9.4,3.7
Irlanda,9.0,2.9
Polonia,7.6,2.6
Bélgica,6.0,2.4
Luxemburgo,5.1,1.6
Eslovenia,5.0,1.6
Alemania,4.0,1.8
Italia,3.5,1.4
España,3.3,1.3
Hungría,3.0,1.2
Eslovaquia,3.0,0.9
Bulgaria,2.5,1.0
Portugal,2.0,0.8
Croacia,1.8,0.7
Estonia,1.7,0.7
Rumanía,1.5,0.6
Chipre,0.0,0.0
Grecia,0.0,0.0
Letonia,0.0,0.0
Lituania,0.0,0.0
Malta,0.0,0.0
UE-27 (media),8.0,3.2
